Time;	Terminal_IsWork;	Terminal_PowerConsumption;	Terminal_Coordinate;	
0;1.000000;98.487757;10.000000_10.000000;
1;1.000000;97.676330;10.000000_10.000000;
2;1.000000;98.986314;10.000000_10.000000;
3;1.000000;97.886451;10.000000_10.000000;
4;1.000000;98.150597;10.000000_10.000000;
5;1.000000;98.039673;10.000000_10.000000;
6;1.000000;98.671396;10.000000_10.000000;
7;1.000000;98.004300;10.000000_10.000000;
8;1.000000;98.069968;10.000000_10.000000;
9;1.000000;100.287476;10.000000_10.000000;
10;1.000000;102.374433;10.000000_10.000000;
11;1.000000;103.069104;10.000000_10.000000;
12;1.000000;104.188934;10.000000_10.000000;
13;1.000000;102.321881;10.000000_10.000000;
14;1.000000;102.869144;10.000000_10.000000;
15;1.000000;100.381257;10.000000_10.000000;
16;1.000000;99.090789;10.000000_10.000000;
17;1.000000;97.293439;10.000000_10.000000;
18;1.000000;98.773159;10.000000_10.000000;
19;1.000000;97.077614;10.000000_10.000000;
20;1.000000;96.596810;10.000000_10.000000;
21;1.000000;94.808757;10.000000_10.000000;
22;1.000000;92.954340;10.000000_10.000000;
23;1.000000;95.273200;10.000000_10.000000;
24;1.000000;93.931071;10.000000_10.000000;
25;1.000000;93.991809;10.000000_10.000000;
26;1.000000;95.585498;10.000000_10.000000;
27;1.000000;96.123834;10.000000_10.000000;
28;1.000000;95.143523;10.000000_10.000000;
29;1.000000;95.797884;10.000000_10.000000;
30;1.000000;95.914217;10.000000_10.000000;
31;1.000000;95.883443;10.000000_10.000000;
32;1.000000;98.150007;10.000000_10.000000;
33;1.000000;97.131783;10.000000_10.000000;
34;1.000000;98.449656;10.000000_10.000000;
35;1.000000;98.581308;10.000000_10.000000;
36;1.000000;99.911731;10.000000_10.000000;
37;1.000000;99.413314;10.000000_10.000000;
38;1.000000;101.359476;10.000000_10.000000;
39;1.000000;100.261321;10.000000_10.000000;
40;1.000000;99.521685;10.000000_10.000000;
41;1.000000;101.052948;10.000000_10.000000;
42;1.000000;103.170141;10.000000_10.000000;
43;1.000000;100.950721;10.000000_10.000000;
44;1.000000;103.218716;10.000000_10.000000;
45;1.000000;103.352876;10.000000_10.000000;
46;1.000000;101.213760;10.000000_10.000000;
47;1.000000;99.656150;10.000000_10.000000;
48;1.000000;100.469479;10.000000_10.000000;
49;1.000000;102.429802;10.000000_10.000000;
50;1.000000;101.655909;10.000000_10.000000;
51;1.000000;99.440681;10.000000_10.000000;
52;1.000000;97.054219;10.000000_10.000000;
53;1.000000;96.848958;10.000000_10.000000;
54;1.000000;94.733272;10.000000_10.000000;
55;1.000000;93.493592;10.000000_10.000000;
56;1.000000;95.693656;10.000000_10.000000;
57;1.000000;97.618094;10.000000_10.000000;
58;1.000000;99.330900;10.000000_10.000000;
59;1.000000;98.172035;10.000000_10.000000;
60;1.000000;98.367203;10.000000_10.000000;
61;1.000000;97.753426;10.000000_10.000000;
62;1.000000;99.025436;10.000000_10.000000;
63;1.000000;99.087502;10.000000_10.000000;
64;1.000000;99.918468;10.000000_10.000000;
65;1.000000;100.076372;10.000000_10.000000;
66;1.000000;97.771014;10.000000_10.000000;
67;1.000000;97.466152;10.000000_10.000000;
68;1.000000;99.570617;10.000000_10.000000;
69;1.000000;101.715417;10.000000_10.000000;
